sprite_table {
 bluetech_02 1
 bgr/okr_05 2
 bgr/okr_07 3
 bluetech_01 4
 bgr/okr_13 5
 bgr/okr_01 6
 bluetech_08 7
 bluetech_06 8
 bigcogwheel 9
 bluetech_07 10
 bluetech_09 11
 bluetech_12 12
 bluetech_10 13
 bgr/plate_01 14
 bgr/bulkhead 15
 bgr/plate_04 16
 bgr/plate_05 17
 bgr/plate_07 18
 bgr/plate_10 19
 blueplate_08 20
 blueplate_00 21
 blueplate_01 22
 blueplate_16 23
 blueplate_15 24
 blueplate_17 25
 bgr/mix_futro02 26
 bgr/mix_arrow01 27
 bgr/mix_arrow02 28
 bgr/mix_arrow03 29
 bgr/mix_arrow04 30
 wall_metalA_03 31
 wall_metalA_01 32
 shadow_fix_02 33
 wall_metalA_02 34
 metal_pipe_02 35
 metal_pipe_04 36
 metal_pipe_03 37
 shadow_fix_01 38
 wall_tech_44 39
 wall_yellow_02 40
 metal_ramp_01 41
 metal_ramp_02 42
 metal_ramp_03 43
 metal_fatpipe_07 44
 metal_fatpipe_01 45
 metal_fatpipe_08 46
 metal_fatpipe_02 47
 metal_fatpipe_03 48
 metal_quadpipe 49
 metal_pipejoint_03 50
 metal_pipe_01 51
 metal_pipe_06 52
 metal_pipejoint_02 53
 metal_pipe_07 54
 pipeend_1 55
 metal_grate 56
 metal_pipejoint_01 57
 pipeend_4 58
 metal_fatpipe_04 59
 metal_pipe_10 60
 metal_pipe_05 61
 nogumE 62
 nobubble_field 63
 comp05 64
 comp02 65
 comp01 66
 nogumW 67
 comp06 68
 comp03 69
 metal_fatpipe_10 70
 wall_tech_37 71
 crane10 72
 crane_platform 73
 crane09 74
 cogwheelA 75
 wall_tech_48 76
 metal_pipe_08 77
 wall_stoneA_03 78
 wind_field_W 79
 wind_field_N 80
 wall_tech_40 81
 wall_tech_45 82
 wall_tech_42 83
 wind_field_S 84
 wind_field_E 85
 wall_tech_41 86
 wall_tech_46 87
 wall_noidea_11 88
 wall_noidea_13 89
 wall_noidea_10 90
 wall_tech_43 91
 metal_pipe_09 92
 wall_green_24a 93
 pipeend_2 94
 metal_pipejoint_04 95
 pipeend_3 96
 wall_tech_36 97
 wall_tech_32 98
 wall_tech_34 99
 teleIN_up 100
 comp_text2 101
 monitorlineB 102
 bigeye 103
 halfplate_12 104
 halfplate_11 105
 halfplate_04b 106
 halfplate_13 107
 tile/deathray_S 108
 sign/exit 109
 sign/doorH 110
 sign/electricity 111
